id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name
u_fc_poi_school.83372,AD,NMIS,Government Junior Secondary School Madagali,ADSMDG06,Secondary,Junior,Public,Formal,School,,,c62a5892-442b-4021-a65e-79ace4bef306,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.616267 10.895321),13.616267,10.895321,Adamawa
u_fc_poi_school.83490,AD,NMIS,Chika Junior Secondary School,ADSHNG04,Secondary,Junior,Public,Formal,School,,,c673a872-3b47-48f3-8d36-1a8f3906186a,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.049562 10.403512),13.049562,10.403512,Adamawa
u_fc_poi_school.83497,AD,NMIS,Boro Primary School,ADSJAD10,Primary,Primary,Public,Formal,School,,,c6760965-2b64-47f7-bdd5-b7acd26ab361,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.108277 8.642676),12.108277,8.642676,Adamawa
u_fc_poi_school.83504,AD,NMIS,Government Junior Secondary School Rigange,ADSLMR08,Secondary,Junior,Public,Formal,School,,,c677bd89-37f4-42a5-bfce-46e50471370c,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.759151 9.572749),11.759151,9.572749,Adamawa
u_fc_poi_school.83587,AD,NMIS,Government Junior Day Secondary School Kwabapale,ADSMCH13,Secondary,Junior,Public,Formal,School,,,c6aa1861-c4d1-410f-b972-d6c4c855cd76,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.332452 10.651495),13.332452,10.651495,Adamawa
u_fc_poi_school.83717,AD,NMIS,Muvur Primary School,ADSMUB08,Primary,Primary,Public,Formal,School,,,c6fbce64-4373-48d6-9e06-4159c7defcd3,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.306299 10.415003),13.306299,10.415003,Adamawa
u_fc_poi_school.83728,AD,NMIS,Sabon Gari Primary School,ADSJAD10,Primary,Primary,Public,Formal,School,,,c7008f43-ebdf-4419-abe2-d2ee962b3c93,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.235713 8.648366),12.235713,8.648366,Adamawa
u_fc_poi_school.83772,AD,NMIS,Salasa Primary School,ADSSNG09,Primary,Primary,Public,Formal,School,,,c7215ddc-6e12-455d-8f8f-3454f70484a3,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.445208 9.634237),12.445208,9.634237,Adamawa
u_fc_poi_school.83789,AD,NMIS,Janawri Primary School,ADSDSA05,Primary,Primary,Public,Formal,School,,,c728a34c-ad33-42ed-960e-70ce5cb7a2be,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.862246 9.371236),11.862246,9.371236,Adamawa
u_fc_poi_school.83841,AD,NMIS,Safatawa Primary School,ADSFUR09,Primary,Primary,Public,Formal,School,,,c757e432-7e49-4ccc-aae9-04d64e7dc129,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.398253 9.025129),12.398253,9.025129,Adamawa
u_fc_poi_school.83847,AD,NMIS,Batum Primary School,ADSSNG01,Primary,Standard,Public,Formal,School,,,c75b1594-56fc-4861-b088-ed13050e234e,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.3563 9.851882),12.3563,9.851882,Adamawa
u_fc_poi_school.83860,AD,NMIS,GMMC Yola,ADSYLN06,Secondary,Junior,Public,Formal,School,,,c761a571-e9bf-42bf-997e-b133eb5c2a26,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.448665 9.250019),12.448665,9.250019,Adamawa
u_fc_poi_school.83890,AD,NMIS,Government Day Junior Secondary School Drima,ADSSNG01,Secondary,Junior,Public,Formal,School,,,c772463b-7021-4670-88c5-3b06e8a9c8d7,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.330786 9.806273),12.330786,9.806273,Adamawa
u_fc_poi_school.83901,AD,NMIS,Gurun Primary School Galga,ADSGMB04,Primary,Primary,Public,Formal,School,,,c77940da-4160-452a-b157-2b2092136681,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.440847 10.294726),12.440847,10.294726,Adamawa
u_fc_poi_school.83999,AD,NMIS,Lidle Primary School,ADSMCH10,Primary,Primary,Public,Formal,School,,,c7b86b85-4cbe-4b3f-99a9-7f88464753d7,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.430825 10.630351),13.430825,10.630351,Adamawa
u_fc_poi_school.84037,AD,NMIS,Government Secondary School Zhedinyi,ADSHNG02,Secondary,Standard,Public,Formal,School,,,c7d09405-1939-4e89-858e-f83f2a72a0ad,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.993931 10.142101),12.993931,10.142101,Adamawa
u_fc_poi_school.84038,AD,NMIS,Maki Junior Secondary School,ADSHNG04,Secondary,Standard,Public,Formal,School,,,c7d1c194-deec-40ee-9edd-3c93de7f8b07,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.041258 10.385748),13.041258,10.385748,Adamawa
u_fc_poi_school.84091,AD,NMIS,Kurara Primary School,ADSGMB08,Primary,Primary,Public,Formal,School,,,c7f78f1a-c4a3-4575-b560-0447b41e1103,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.581797 10.323066),12.581797,10.323066,Adamawa
u_fc_poi_school.84093,AD,NMIS,Government Day Secondary School Nassarawa Jerreng,ADSMWA06,Secondary,Junior,Public,Formal,School,,,c7f85e32-9848-4380-bbb0-45cbed82ee3a,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.895109 8.962957),11.895109,8.962957,Adamawa
u_fc_poi_school.84099,AD,NMIS,Government Day Secondary School Junior Section Gulak,ADSMDG03,Secondary,Junior,Public,Formal,School,,,c7fc6d06-780c-4b37-a05e-cc0fe12686bf,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.451378 10.805777),13.451378,10.805777,Adamawa
u_fc_poi_school.84145,AD,NMIS,Zaibadari Primary School,ADSMCH06,Primary,Standard,Public,Formal,School,,,c817c97a-9c09-419a-b29c-fea75adc47a4,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.388723 10.621837),13.388723,10.621837,Adamawa
u_fc_poi_school.84157,AD,NMIS,Madanya Primary School,ADSGYL08,Primary,Primary,Public,Formal,School,,,c81d16cc-af8d-42c5-9ca1-d0e7307d336c,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.309341 10.26489),13.309341,10.26489,Adamawa
u_fc_poi_school.84164,AD,NMIS,Luggere Primary School,ADSFUR08,Primary,Primary,Public,Formal,School,,,c82112f3-1de4-4f2b-86ce-8eebf985930c,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.703635 9.303433),12.703635,9.303433,Adamawa
u_fc_poi_school.84197,AD,NMIS,Government Junior Secondary School Bitiku,ADSMDG03,Secondary,Junior,Public,Formal,School,,,c833e6a1-99ca-47dd-866d-819efd697822,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.375099 10.890142),13.375099,10.890142,Adamawa
u_fc_poi_school.84398,AD,NMIS,Dayiri Primary School,ADSGAN09,Primary,Primary,Public,Formal,School,,,c8aa268b-22fc-4766-aa91-89e611a9702a,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.939164 8.511509),11.939164,8.511509,Adamawa
u_fc_poi_school.84432,AD,NMIS,Njahili Primary School,ADSMDG02,Primary,Primary,Public,Formal,School,,,c8be9468-e24c-46ea-8e40-4da0bf8e1388,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.425313 10.739426),13.425313,10.739426,Adamawa
u_fc_poi_school.84474,AD,NMIS,Muchalla Central Primary School,ADSMUB08,Primary,Primary,Public,Formal,School,,,c8d66209-1a72-4350-a4df-1a2ac470104c,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.372731 10.361079),13.372731,10.361079,Adamawa
u_fc_poi_school.84496,AD,NMIS,Ngurore Primary School,ADSGMB09,Primary,Primary,Public,Formal,School,,,c8e42e4f-4949-49ca-a925-215a3fb16f1c,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.675567 10.215463),12.675567,10.215463,Adamawa
u_fc_poi_school.84503,AD,NMIS,Kaptarere Primary School,ADSGRE06,Primary,Primary,Public,Formal,School,,,c8e81f5c-ff6b-4c02-ab3a-00b370486463,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.465926 9.495653),12.465926,9.495653,Adamawa
u_fc_poi_school.84554,AD,NMIS,Bida Wakka Primary School,ADSDSA01,Primary,Primary,Public,Formal,School,,,c9054843-80d8-4698-b18d-689bc16a773b,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.934897 9.237131),11.934897,9.237131,Adamawa
u_fc_poi_school.84641,AD,OSGOF,Kafain Hausa Primary School Kafain Hausa,ADSMDG04,Primary,Standard,Public,Formal,School,,,c93ba231-8429-44cd-b644-ba8dd80b9220,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.54072 10.87626),13.54072,10.87626,Adamawa
u_fc_poi_school.84674,AD,NMIS,Zakawan Primary School,ADSGUY06,Primary,Primary,Public,Formal,School,,,c94a84ae-f21e-4958-99f3-647a0fa0bae7,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.83022 9.667355),11.83022,9.667355,Adamawa
u_fc_poi_school.84693,AD,NMIS,Government Secondary School Jada,ADSJAD03,Secondary,Standard,Public,Formal,School,,,c954b0bc-e129-4b98-9799-8994e816be56,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.166078 8.780734),12.166078,8.780734,Adamawa
u_fc_poi_school.84740,AD,NMIS,Mbidimci Primary School,ADSGRE09,Primary,Primary,Public,Formal,School,,,c9739495-01d0-4aae-9175-81533f25eaff,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.411215 9.569452),12.411215,9.569452,Adamawa
