id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name,state_clean,norm_name,School Status,School Level,School Type,School Name
u_fc_poi_school.6675,AD,NMIS,Old Government Reserved Area Primary School,ADSYLN02,Primary,Standard,Public,Formal,School,,,1078404a-4a60-4b11-aaba-42dd09cbe5c8,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.457309 9.26565),12.457309,9.26565,Adamawa,Adamawa,old reserved area,Open,Pre-Primary & Primary,Regular,Old Government Reserved Area Primary School
u_fc_poi_school.6811,AD,eHA Polio,Wuro Mango Primary School,ADSFUR08,Primary,Standard,Public,Formal,School,,,10de150a-9928-49d8-ba52-08fa06a8b352,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.8211586 9.2986647),12.8211586,9.2986647,Adamawa,Adamawa,wuro mango,Open,Pre-Primary & Primary,Nomadic (Migrants),Wuro Mango Nomadic Primary School
u_fc_poi_school.6945,AD,NMIS,Mbachure Primary School,ADSYLN06,Primary,Primary,Public,Formal,School,,,11419c3a-623b-43c6-bc84-c81e31de320c,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.426147 9.248376),12.426147,9.248376,Adamawa,Adamawa,mbachure,Open,Pre-Primary & Primary,Regular,Mbachure Primary School
u_fc_poi_school.7071,AD,NMIS,Goduwo Primary School,ADSYLA09,Primary,Primary,Public,Formal,School,,,11853e2b-a140-4d73-8539-e1a558e9ef03,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.31027 9.399367),12.31027,9.399367,Adamawa,Adamawa,goduwo,Open,Pre-Primary & Primary,Regular,Goduwo Primary School
u_fc_poi_school.7072,AD,NMIS,Linga Primary School,ADSDSA04,Primary,Primary,Public,Formal,School,,,1185da65-7efc-42b0-bcf0-f888cc80f978,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.123629 9.505788),12.123629,9.505788,Adamawa,Adamawa,linga,Open,Pre-Primary & Primary,Regular,Linga Primary School
u_fc_poi_school.7083,AD,NMIS,Kuna Vinde,ADSMAH02,Primary,Primary,Public,Formal,School,,,118db421-bf81-407b-9ceb-4fa69ba77974,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.173407 10.144601),13.173407,10.144601,Adamawa,Adamawa,kuna vinde,Open,Pre-Primary & Primary,Regular,Kuna Vinde Primary School
u_fc_poi_school.7172,AD,NMIS,Primary School Holma,ADSSNG11,Primary,Primary,Public,Formal,School,,,11c5566d-0f4f-4ad4-8f71-c41308489ba7,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.054879 9.90186),13.054879,9.90186,Adamawa,Adamawa,holma,Open,Pre-Primary & Primary,Regular,Holma Primary School
u_fc_poi_school.7226,AD,NMIS,Wuro Alhaji Yahya Primary School,ADSJAD11,Primary,Primary,Public,Formal,School,,,11e5fce4-343a-4e87-9c79-18e55f04a467,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.382883 8.6261246),12.382883,8.6261246,Adamawa,Adamawa,wuro alhaji yahya,Open,Pre-Primary & Primary,Regular,Wuro Alhaji Yahya Primary School
u_fc_poi_school.7311,AD,NMIS,Boyu Primary School,ADSMWA02,Primary,Primary,Public,Formal,School,,,121b1b14-c8e5-499c-9b65-06f0063517a1,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.887755 8.712139),11.887755,8.712139,Adamawa,Adamawa,boyu,Open,Pre-Primary & Primary,Regular,Boyu Primary School
u_fc_poi_school.7314,AD,NMIS,Kongoli Primary School,ADSMAH09,Primary,Primary,Public,Integrated,School,,,121da1be-e410-4e14-8a19-f1353c509d91,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.106109 9.791717),13.106109,9.791717,Adamawa,Adamawa,kongoli,Open,Pre-Primary & Primary,Regular,Kongoli Primary School
u_fc_poi_school.7479,AD,NMIS,Lainde Primary School,ADSMAH06,Primary,Primary,Public,Formal,School,,,1281de98-5d1e-429e-9ec0-d84a21abe04e,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.165414 10.057758),13.165414,10.057758,Adamawa,Adamawa,lainde,Open,Pre-Primary & Primary,Regular,Lainde Primary School
u_fc_poi_school.7514,AD,NMIS,Kuba Banga Primary School,ADSSNG03,Primary,Primary,Public,Formal,School,,,1293c416-2f34-4449-b0d7-eadded678066,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.443336 9.850289),12.443336,9.850289,Adamawa,Adamawa,kuba banga,Open,Pre-Primary & Primary,Regular,Kuba Banga Primary School
u_fc_poi_school.7646,AD,NMIS,Gazha Primary School,ADSMUB07,Primary,Primary,Public,Formal,School,,,12debc5b-51f8-4ea8-9eef-c580a6fec0e0,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.428123 10.432858),13.428123,10.432858,Adamawa,Adamawa,gazha,Open,Pre-Primary & Primary,Regular,Gazha Primary School
u_fc_poi_school.7748,AD,NMIS,Murkunchi Primary School,ADSMAH02,Primary,Primary,Public,Formal,School,,,131f2c1b-45c6-429d-bbbc-3da72ea36d96,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.117454 10.154167),13.117454,10.154167,Adamawa,Adamawa,murkunchi,Open,Pre-Primary & Primary,Regular,Murkunchi Primary School
u_fc_poi_school.7768,AD,NMIS,Pupah Primary School,ADSSHG01,Primary,Primary,Public,Formal,School,,,1330cd68-617c-438a-85ac-2cfa681d0cc8,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.162029 9.821941),12.162029,9.821941,Adamawa,Adamawa,pupah,Open,Pre-Primary & Primary,Regular,Pupah Primary School
u_fc_poi_school.7843,AD,NMIS,Sabon Gari Primary School,ADSGRE04,Primary,Primary,Public,Formal,School,,,1358cd67-b134-4600-8c0e-fc046dcd5223,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.50795 9.334382),12.50795,9.334382,Adamawa,Adamawa,sabon gari,Open,Pre-Primary & Primary,Regular,Sabon Gari Primary School
u_fc_poi_school.7917,AD,NMIS,Lutheran Primary School,ADSGUY07,Primary,Standard,Private,Formal,School,,,1384418e-8bd0-4fbb-9b7b-052f309a338a,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.927462 9.906704),11.927462,9.906704,Adamawa,Adamawa,lutheran,Open,Private Education,Regular,Lutheran Comprehensive Academy
u_fc_poi_school.8092,AD,NMIS,Lar Primary School,ADSHNG03,Primary,Primary,Public,Formal,School,,,13ebcc54-161d-494d-b0f4-322165ae2b68,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.84936 10.405915),12.84936,10.405915,Adamawa,Adamawa,lar,Open,Pre-Primary & Primary,Regular,Lar Primary School
u_fc_poi_school.8169,AD,NMIS,Gyemun Primary School,ADSNUM10,Primary,Standard,Public,Formal,School,,,142250b8-2d83-4be2-8e1f-fb00c2c35b44,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.737827 9.474624),11.737827,9.474624,Adamawa,Adamawa,gyemun,Open,Pre-Primary & Primary,Regular,Gyemun Primary School
u_fc_poi_school.8178,AD,NMIS,Danubbi Primary School,ADSGAN05,Primary,Primary,Public,Formal,School,,,1429c364-0694-456a-9a8a-a8b55cc780f6,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.899347 8.484309),11.899347,8.484309,Adamawa,Adamawa,danubbi,Open,Pre-Primary & Primary,Regular,Danubbi Primary School
u_fc_poi_school.8268,AD,NMIS,Kanza Primary School,ADSMCH14,Primary,Primary,Public,Formal,School,,,145bacb4-cfe6-49b0-aeff-9d967363688b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.389633 10.55545),13.389633,10.55545,Adamawa,Adamawa,kanza,Open,Pre-Primary & Primary,Regular,Kanza Primary School
u_fc_poi_school.8270,AD,NMIS,Humra Primary School,ADSGMB02,Primary,Primary,Public,Formal,School,,,145e83bc-5ed2-45a8-8b8f-a928d98e091d,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.222019 10.018186),12.222019,10.018186,Adamawa,Adamawa,humra,Open,Pre-Primary & Primary,Regular,Humra Primary School
u_fc_poi_school.8411,AD,NMIS,Mbamba II Primary School,ADSYLA06,Primary,Standard,Public,Formal,School,,,14af2edd-27b6-454a-b57c-802773243ea4,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.540931 9.178171),12.540931,9.178171,Adamawa,Adamawa,mbamba ii,Open,Pre-Primary & Primary,Regular,Mbamba II Primary School
u_fc_poi_school.8412,AD,NMIS,Loh Primary School,ADSDSA04,Primary,Standard,Public,Formal,School,,,14af7b26-9dc8-47b9-b658-5201d31b4c34,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.106305 9.500123),12.106305,9.500123,Adamawa,Adamawa,loh,Open,Pre-Primary & Primary,Regular,Loh Nomadic Primary School
u_fc_poi_school.8541,AD,NMIS,Gangtaren Primary School,ADSTNG01,Primary,Primary,Public,Formal,School,,,14fc6f11-0730-4d8b-911a-9790cdb4264d,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (11.65938 8.437543),11.65938,8.437543,Adamawa,Adamawa,gangtaren,Open,Pre-Primary & Primary,Regular,Gangtaren Primary School
u_fc_poi_school.8552,AD,NMIS,Fawaire Primary School,ADSGRE03,Primary,Standard,Public,Formal,School,,,1501da1a-2d98-4135-98c4-1b6edf9fe1ea,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.392133 9.46818),12.392133,9.46818,Adamawa,Adamawa,fawaire,Open,Pre-Primary & Primary,Regular,Fawaire Primary School
u_fc_poi_school.8595,AD,NMIS,Suzuwa Primary School,ADSMUB02,Primary,Primary,Public,Formal,School,,,151d8194-0104-4b76-bb23-f80a04e5df58,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (13.349338 10.488957),13.349338,10.488957,Adamawa,Adamawa,suzuwa,Open,Pre-Primary & Primary,Regular,Suzuwa Primary School
u_fc_poi_school.8618,AD,NMIS,Daksiri Tiding Primary School,ADSHNG02,Primary,Primary,Public,Formal,School,,,152e154b-4037-460d-8491-8da881e15f5b,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.962836 10.132859),12.962836,10.132859,Adamawa,Adamawa,daksiri tiding,Open,Pre-Primary & Primary,Regular,Daksiri Tiding Primary School
u_fc_poi_school.8754,AD,NMIS,Gundo Primary School,ADSSHG03,Primary,Primary,Public,Formal,School,,,15897d29-d1fe-479c-883a-bd5a81963d9e,primary-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-primary-schools.zip/primary-schools.geojson,POINT (12.02766 9.700052),12.02766,9.700052,Adamawa,Adamawa,gundo,Open,Pre-Primary & Primary,Regular,Gundo Primary School
