lgs_names,status,latitude,longitude
Guyuk,Open,10.007614,11.962822
Shelleng,Open,9.822991,12.135153
Hong,Open,10.3368867,12.7392432
Demsa,Open,9.536543,12.157371
Jada,Open,8.63122,12.325482
Jada,Open,8.700467,12.347826
Hong,Open,10.217765,13.03257
Ganye,Open,8.52195,11.915008
Mayo-Belwa,Open,9.0466403,11.8991383
Song,Open,9.827491,12.512135
Mayo-Belwa,Open,9.093893,12.046078
Jada,Open,8.695507,12.202517
Song,Open,10.004742,12.654705
Numan,Open,9.413912,11.585621
Numan,Open,9.467826,12.023302
Guyuk,Open,10.0294106,11.9738245
Maiha,Open,10.169213,13.123011
Lamurde,Open,9.564833,11.566391
Guyuk,Open,9.788423,11.874144
Demsa,Open,9.230265,11.804861
Hong,Open,10.21717,12.912503
Hong,Open,10.327644,13.121294
Ganye,Open,8.466597,12.162246
Gombi,Open,10.242554,12.661751
Girei,Open,9.541261,12.41683
Hong,Open,10.14014,12.929556
Hong,Open,10.357626,13.105144
Yola North,Open,9.264402,12.456987
Hong,Open,10.128874,13.080918
Demsa,Open,9.299035,11.763432
Fufore,Open,8.8277,12.502589
Ganye,Open,8.323474,11.97953
Yola North,Open,9.287323,12.439556
Toungo,Open,8.125213,12.016116
Girei,Open,9.349602,12.425762
Lamurde,Open,9.574536,11.475139
Lamurde,Open,9.521332,11.828762
Ganye,Open,8.5932,11.951574
Michika,Open,10.684148,13.401545
Mayo-Belwa,Open,8.978574,12.033684
Hong,Open,10.330083,12.947421
Fufore,Open,9.27201,12.655071
Ganye,Open,8.584127,11.949971
Michika,Open,10.622272,13.382086
Song,Open,9.9384446,12.5220109
Yola South,Open,9.206616,12.485971
Yola South,Open,9.205457,12.411507
Hong,Open,10.339912,13.046704
Maiha,Open,10.016447,13.096284
Shelleng,Open,9.749977,11.974512
Demsa,Open,9.540442,12.055654
Numan,Open,9.440426,11.905598
Madagali,Open,10.873664,13.648514
Fufore,Open,9.201959,12.726915
Fufore,Open,9.1160453,12.2299286
Jada,Open,8.67647,12.385334
Michika,Open,10.603317,13.526462
Fufore,Open,9.005182,12.337718
Michika,Open,10.651717,13.403629
Hong,Open,10.349499,12.975671
Hong,Open,10.242984,13.158079
Ganye,Open,8.451159,12.085785
Ganye,Open,8.444733,12.012374
Ganye,Open,8.390233,11.91834
Fufore,Open,9.227883,12.646209
Jada,Open,8.800454,12.051583
Fufore,Open,9.1162957,12.2294568
Fufore,Open,9.018463,12.628766
Ganye,Open,8.549744,11.972778
Fufore,Open,9.134093,12.676898
Mayo-Belwa,Open,8.644193,11.873683
Madagali,Open,10.826416,13.457904
Toungo,Open,8.211722,12.146423
Hong,Open,10.2793,13.219147
Lamurde,Open,9.545821,11.665292
Hong,Open,10.202854,12.9889
Maiha,Open,10.199371,13.154041
Numan,Open,9.502903,11.862271
Hong,Open,10.240301,12.9341011
Gombi,Open,10.150546,12.4326
Mubi South,Open,10.235558,13.351076
