Date of Survey,How was the location Accessed,Location Accessibility,Location_type,Population Category,New Location,State,State code,LGA,LGA code,Ward,Site Type,Site Classification,Site Name,Site ID (SSID),Site Status (if Camp),Latitude,Longitude,new_locations/Site_Class,Reasons of Displacement,Reason for Returning,Households,Individuals,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-INDs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2014_2021_hh,idps_Returnees_integrate_resettled_2014_2021_ind,Total_Arrival Year - Households,Total_Arrival Year -Individuals,Male Infants (<1 y),Female Infants (<1 y),Male Children (1-5 y),Female Children (1-5 y),Male Children (6-12 y),Female Children (6-12 y),Male Youth (13-17 y),Female Youth (13-17 y),Male Adults (18-59 y),Female Adults (18-59 y),Male Elderly (60 +y ),Female Elderly (60 +y ),Returnee Status,initially displaced Country,Initially displaced State,Initially displaced LGA,Initially displaced WARD,Majority Year of Returns (2025) - HH,Majority Year of Returns (2025) - IND,Majority Year of Returns (2024) - HH,Majority Year of Returns (2024) - IND,Majority Year of Returns (2023) - HH,Majority Year of Returns (2023) - IND,Majority Year of Returns (2022) - HH,Majority Year of Returns (2022) - IND,Majority Year of Returns (2014-2021) - HH,Majority Year of Returns (2014-2021) - IND
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,Returnees,Returnees,Kodomun,AD_R004,,9.45753,12.22877,Rural,Insurgency,Improved security,365,2190,5,30,15,90,2,12,13,78,330,1980,365,2190,26,26,93,94,307,308,348,350,270,271,48,49,IDP Returnee,Nigeria,Adamawa,Demsa,Demsa,5.0,30.0,15.0,90.0,2.0,12.0,13.0,78.0,330.0,1980.0
2025-03-24,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,IDPs Resettled,IDPs Resettled,Kedemun,Kedemun,,9.457918,12.229334,Urban,Communal Clashes,,85,510,6,36,27,162,5,30,10,60,37,222,85,510,19,20,21,22,58,64,101,104,38,39,12,12,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,IDPs Resettled,IDPs Resettled,Kwayine,Kwayine,,9.39895,12.3643,Urban,Insurgency,,110,660,5,30,4,24,3,18,9,54,89,534,110,660,20,20,42,43,100,100,104,108,42,44,18,19,IDPs,,,,,,,,,,,,,,
2025-03-24,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Demsa,IDPs Resettled,IDPs Resettled,Mugarang,Mugarang,,9.459728,12.177998,Urban,Communal Clashes,,127,762,3,18,8,48,3,18,10,60,103,618,127,762,22,24,34,36,113,116,120,125,64,67,20,21,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Dilli,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Dilli,AD_H011,,9.534999,12.161227,Rural,Communal Clashes,,74,444,4,24,13,78,2,12,5,30,50,300,74,444,8,8,29,31,70,70,68,70,34,35,10,11,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Dilli,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Loh,AD_H012,,9.50061,12.10531,Rural,Communal Clashes,,70,420,3,18,6,36,2,12,5,30,54,324,70,420,8,9,25,26,64,65,72,73,30,30,9,9,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Dong,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Dong,AD_H013,,9.40498,11.93362,Rural,Communal Clashes,,529,3174,7,42,15,90,4,24,6,36,497,2982,529,3174,118,121,204,208,411,420,582,588,234,236,26,26,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Dong,Returnees,Returnees,Dong,AD_R005,,9.40353,11.91831,Rural,Communal Clashes,Improved security,794,4764,19,114,3,18,20,120,25,150,727,4362,794,4764,59,59,430,435,656,662,594,599,418,424,211,217,IDP Returnee,Nigeria,Adamawa,Demsa,Dong,0.0,0.0,14.0,84.0,3.0,18.0,20.0,120.0,757.0,4542.0
2025-03-25,face to face,full,IDPs,IDPs Resettled,no,Adamawa,NGA002,Demsa,NGA002001,Dong,IDPs Resettled,IDPs Resettled,Lawaru,Lawaru,,9.385248,11.938075,Rural,Communal Clashes,,153,918,4,24,8,48,3,18,6,36,132,792,153,918,24,26,30,32,84,88,127,130,134,137,53,53,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Dwam,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Dwam,AD_H014,,9.4528,12.06758,Urban,Communal Clashes,,49,294,2,12,20,120,2,12,4,24,21,126,49,294,12,13,15,16,31,32,42,43,34,35,10,11,IDPs,,,,,,,,,,,,,,
